GENES,num_variants
TTN,2765
BRCA2,1934
ATM,1909
APC,1228
BRCA1,1075
MSH6,1048
LDLR,905
PALB2,794
NF1,732
TSC2,640
BRIP1,627
PMS2,600
MSH2,596
POLE,571
CDH1,553
CHEK2,491
BARD1,490
SMARCA4,451
MYBPC3,441
RAD50,426
SYNE1,422
TP53,420
POLD1,404
NBN,397
MLH1,395
MUTYH,391
PLEC,379
STK11,359
MYH7,333
NEB,321
DMD,320
RYR2,319
RYR1,313
FBN1,311
DICER1,308
SCN5A,303
COL6A3,290
PTEN,256
RAD51C,248
RAD51D,237
DSP,228
RET,225
USH2A,220
TSC1,219
DYSF,212
CDH23,210
PTCH1,197
COL5A1,196
SYNE2,195
BMPR1A,195
DNAH11,190
FBN2,187
COL6A2,186
GPR98,183
MYH11,182
MYH6,177
COL6A1,175
CFTR,171
POLG,168
PKHD1,168
GAA,168
DNAH5,167
MRE11A,164
SCN1A,162
SDHA,157
LMNA,155
KCNQ1,155
ANK2,153
AXIN2,152
LAMA2,151
KCNH2,151
CACNA1C,150
ASPM,148
SMAD4,146
PCNT,146
MEN1,143
FLNA,141
ABCA4,138
MECP2,136
BAP1,135
PKP2,132
MYO7A,131
FLCN,131
BLM,129
APOB,128
WFS1,126
VHL,126
MET,126
ATP7B,126
DYNC1H1,124
CDKN2A,124
RELN,123
KMT2D,123
FANCC,123
CNTNAP2,123
VPS13B,121
NOTCH1,118
FH,118
ALMS1,117
DSG2,115
SPTAN1,114
PKD1,114
ZNF469,112
KCNT1,111
FLNC,111
ACTN2,111
MYLK,106
COL5A2,106
CHD7,106
CAPN3,105
CACNA1A,105
RBM20,104
CACNA1S,104
SCN4A,102
SCN9A,100
LAMA4,98
PAH,97
LDB3,96
HBB,95
GJB2,95
AKAP9,95
SDHB,94
KIF1A,93
PTPN11,92
KCNQ2,92
NSD1,91
COL3A1,91
CEP290,90
MYO15A,89
SCN2A,88
TNNT2,87
NRXN1,85
DYNC2H1,85
PCDH15,81
IGHMBP2,81
ALK,81
HSPG2,80
DES,80
CBS,80
OTOF,79
JUP,78
SLX4,77
POMT1,77
PNKP,77
FANCA,76
DSC2,76
C5orf42,76
VCL,75
NPHP4,75
SACS,74
COL11A2,74
SLC26A4,73
MYPN,73
MYH9,73
RB1,72
LOXHD1,71
ANO5,71
RECQL4,70
GLA,70
BAG3,70
AGRN,70
NPC1,69
MEFV,69
CC2D2A,69
ABCC9,69
COL1A1,68
AGL,68
ACADVL,68
CCDC40,67
SOS1,66
NEBL,66
GALT,66
VWF,65
PLEKHG5,64
CHRNA4,64
ZEB2,63
SH3TC2,63
PRKAG2,63
EHMT1,63
ABCC8,63
TRPV4,62
GRIN2A,62
CDK4,62
WDR62,61
TNNI3,61
SLC2A1,61
MYH14,61
HCN4,61
ZFYVE26,60
NIPBL,60
SPG11,59
CLCN1,59
ACADM,59
WRN,58
PRX,58
PCSK9,58
COL2A1,58
TBC1D24,57
DOCK8,57
CBL,57
TPM1,56
PRDM16,56
LRP2,56
FRAS1,56
GRIN2B,55
GLI3,55
SCN8A,54
POMT2,54
MFN2,54
MCPH1,54
CASR,54
WNK1,53
TERT,53
MBD5,53
JAG1,53
DNM2,53
COL11A1,53
TPP1,52
NPHP3,52
MYO3A,52
ITGA7,52
DHCR7,52
CHD2,52
SETX,51
PCDH19,51
INF2,51
FKRP,51
ENG,51
TECTA,50
STXBP1,50
SKI,50
KIF7,50
GCK,50
EVC2,50
ADAMTS2,50
WWOX,49
SLC2A10,49
SLC22A5,49
EVC,49
EP300,49
SPTA1,48
SPG7,48
NOTCH3,48
IKBKAP,48
FKTN,48
DNMT1,48
TMEM43,47
TGFBR2,47
AHI1,47
SMPD1,46
KANSL1,46
BRAF,46
ATP1A2,46
OPA1,45
GALC,45
FOXG1,45
TJP2,44
SDHD,44
NEXN,44
CREBBP,44
PYGM,43
LYST,43
FLNB,43
EYS,43
COL1A2,43
EFHC1,42
DNAAF1,42
RAF1,41
MYL2,41
CEP152,41
CAV3,41
CACNB2,41
AARS,41
USH1C,40
TRPM4,40
SGCD,40
SGCA,40
SBF2,40
KCNQ3,40
FANCI,40
CDKL5,40
CDK5RAP2,40
ALDH7A1,40
ABCB11,40
SMAD3,39
SEPN1,39
SCN10A,39
LARGE1,39
FANCM,39
ERCC6,39
DFNB31,39
TTC21B,38
TRDN,38
PRICKLE1,38
PLCB1,38
MED12,38
FANCD2,38
COL4A1,38
CASQ2,38
SPINK5,37
RPGRIP1L,37
MAP2K2,37
DTNA,37
DST,37
DOK7,37
CENPJ,37
CCDC39,37
BTD,37
ATR,37
ATP8B1,37
VCAN,36
TTR,36
SLC25A22,36
POMGNT1,36
PDGFRA,36
MYH3,36
MEGF10,36
JPH2,36
GLI2,36
CLN5,36
CLN3,36
BCKDHA,36
ARSA,36
ANKRD1,36
ABCB4,36
SPTB,35
PLOD1,35
NTRK1,35
NF2,35
MYO6,35
MYLK2,35
GNE,35
CTSD,35
COL9A3,35
COL9A2,35
ASS1,35
TRAPPC9,34
TGFBR1,34
SNTA1,34
HNF1A,34
GLDC,34
GARS,34
COL4A4,34
RAI1,33
MYOM1,33
LRRK2,33
LPIN2,33
ELN,33
CPS1,33
ADSL,33
TCF4,32
NLRP3,32
ISPD,32
FGFR3,32
CHRNA2,32
CACNA2D4,32
TMPO,31
SALL1,31
ROR2,31
OCA2,31
KIF1B,31
IDUA,31
GJB1,31
GALNT12,31
CLN6,31
ACVRL1,31
UBE3A,30
TXNRD2,30
TRIP11,30
TMEM127,30
SDHC,30
PMM2,30
PEX1,30
MYL3,30
MLH3,30
HEXA,30
F5,30
DNAAF2,30
CPT2,30
CNGB1,30
CHRNE,30
ARFGEF2,30
UNC13D,29
TSEN54,29
TMPRSS3,29
TMEM67,29
TCOF1,29
SCN1B,29
PSTPIP1,29
NPHS1,29
MUT,29
MTR,29
MKS1,29
