GENES,conflicting_class
TTN,888
BRCA2,582
BRCA1,346
LDLR,291
ATM,218
TSC2,185
APC,171
MYH7,146
MYBPC3,141
TP53,139
SYNE1,130
MSH6,117
NEB,115
SCN5A,113
PLEC,112
PMS2,109
DMD,106
COL6A3,101
RYR2,95
RYR1,95
CDH23,95
PALB2,93
USH2A,88
DNAH11,85
CDH1,81
CFTR,78
DSP,77
APOB,77
NF1,76
POLG,75
FBN1,75
MSH2,72
TSC1,71
POLE,71
BRIP1,70
STK11,66
NBN,64
PTCH1,61
COL6A2,61
MYH6,60
MYH11,59
GAA,59
CHEK2,59
MUTYH,58
RET,57
DYSF,55
ASPM,55
MECP2,54
KCNH2,54
GPR98,53
COL6A1,53
ABCA4,52
DNAH5,51
SCN1A,50
POLD1,50
LMNA,50
LAMA2,50
ANK2,50
SPTAN1,49
SMARCA4,49
MLH1,49
BARD1,49
CACNA1C,48
RELN,46
FBN2,46
DYNC1H1,44
FLNA,43
AKAP9,42
RBM20,41
SYNE2,40
COL5A1,40
CNTNAP2,40
PCNT,39
NRXN1,39
MYO15A,38
SCN9A,37
DSG2,37
TNNT2,36
PKP2,35
LOXHD1,35
KCNQ1,35
ZNF469,34
PTEN,34
KMT2D,34
HSPG2,34
WFS1,33
PCDH15,33
KIF1A,33
BLM,33
ATP7B,33
SCN2A,32
PNKP,32
OTOF,32
KCNT1,32
BMPR1A,32
AXIN2,32
VPS13B,31
PKHD1,31
PCSK9,31
MYO7A,31
RAD51D,30
LRRK2,30
DICER1,30
COL3A1,30
MET,29
POMT1,28
MYLK,28
MBD5,28
CC2D2A,28
VCL,27
TPM1,27
TBC1D24,27
SACS,27
KCNQ2,27
DYNC2H1,27
CACNA1A,27
TNNI3,26
PLEKHG5,26
MYO3A,26
LDB3,26
IGHMBP2,26
DSC2,26
CHD7,26
ACTN2,26
VHL,25
RAD51C,25
MRE11A,25
FLNC,25
FH,25
CDKN2A,25
C5orf42,25
ALMS1,25
WDR62,24
ITGA7,24
GJB2,24
EVC2,24
CEP290,24
CBS,24
SPG11,23
SH3TC2,23
SCN4A,23
RAD50,23
NPHP4,23
CAPN3,23
SMAD4,22
SLC2A1,22
SDHA,22
MEFV,22
GRIN2B,22
FANCA,22
DES,22
COL5A2,22
AGXT,22
ACADVL,22
SLC25A22,21
PRX,21
PRKAG2,21
HBB,21
GALT,21
FOXG1,21
COL1A1,21
WRN,20
GLA,20
FANCC,20
RB1,19
POMT2,19
NSD1,19
NPHP3,19
NPC1,19
MEN1,19
FLCN,19
EFHC1,19
CCDC40,19
CACNB2,19
CACNA1S,19
ABCC6,19
ZFYVE26,18
ZEB2,18
TERT,18
SPG7,18
SLX4,18
SLC2A10,18
SDHB,18
NEXN,18
MYPN,18
DFNB31,18
CHRNA4,18
CAV3,18
BAG3,18
ABCC9,18
UBE3A,17
PLCB1,17
LAMA4,17
DST,17
CCDC39,17
CASR,17
BTD,17
ALK,17
USH1C,16
TGFBR2,16
SCN8A,16
MLH3,16
MCPH1,16
LYST,16
KCNQ3,16
JUP,16
IKBKAP,16
GRIN2A,16
CTSD,16
CLN6,16
CEP152,16
BAP1,16
ATP1A2,16
ACADM,16
SOS1,15
RAF1,15
PCDH19,15
MYH9,15
MUSK,15
EHMT1,15
CLCN1,15
ABCC8,15
TRPM4,14
TMEM43,14
STXBP1,14
SLC26A4,14
SBF2,14
PRICKLE1,14
PHKB,14
MEGF10,14
KIT,14
KANSL1,14
HCN4,14
FKTN,14
FKRP,14
DNMT1,14
COL2A1,14
COL11A1,14
ANO5,14
ANKRD1,14
ALDH7A1,14
ADAMTS2,14
AARS,14
SGCD,13
SGCA,13
RSPH4A,13
RP1L1,13
ROR2,13
PYGM,13
MYO1A,13
MYLK2,13
MYL2,13
MKS1,13
MED12,13
LARGE1,13
ISPD,13
GLDC,13
GCK,13
GABRA1,13
ERCC6,13
DNAAF2,13
CNGB1,13
CDK5RAP2,13
CBL,13
AGL,13
TPP1,12
TGFBR1,12
SMAD3,12
SEPN1,12
RPGRIP1L,12
NTRK1,12
KIF7,12
GYS1,12
FANCI,12
DNAI2,12
DIS3L2,12
CPT2,12
COL11A2,12
CDK4,12
CASQ2,12
ABCB4,12
YARS2,11
Unknown,11
TMEM67,11
TCAP,11
SUFU,11
STIL,11
SMCHD1,11
SETX,11
RAI1,11
PTPN11,11
PDGFRA,11
OPA1,11
NKX2-5,11
MFN2,11
LRSAM1,11
LAMB2,11
JPH2,11
GYS2,11
GFM1,11
FANCM,11
FANCD2,11
CUL7,11
COL1A2,11
CLN3,11
CENPJ,11
ASS1,11
ARFGEF2,11
AP5Z1,11
ADSL,11
ACTC1,11
TTC21B,10
TGFB3,10
TECTA,10
SNTA1,10
SMPD1,10
SLC22A5,10
SERPINA1,10
RAB3GAP2,10
POMGNT1,10
PLOD1,10
PC,10
NPHS1,10
NOTCH1,10
NIPBL,10
NEBL,10
MYH14,10
MFSD8,10
MC1R,10
KRAS,10
KCNMA1,10
KCNE1,10
JAG1,10
IFT140,10
GNE,10
GLI3,10
GABRG2,10
FRAS1,10
FGD4,10
ENG,10
DOCK8,10
DNAAF1,10
DHCR7,10
CHRNE,10
ATR,10
ATP7A,10
ARX,10
AIP,10
ADCK3,10
WNK1,9
UNC13D,9
TTR,9
TRPV4,9
TRAPPC9,9
TNNC1,9
TMPRSS3,9
TCTN1,9
SRPX2,9
SMARCB1,9
SLC19A3,9
SKI,9
RPGRIP1,9
ROGDI,9
RARS2,9
PEX1,9
PALLD,9
OCA2,9
OBSL1,9
NOD2,9
NEK1,9
MYL3,9
MYH2,9
MTRR,9
MTR,9
LRP2,9
LPIN2,9
ITPR1,9
HNF4A,9
GJB1,9
GARS,9
GALC,9
FTCD,9
FOLR1,9
EYS,9
EMD,9
DOLK,9
DNM2,9
DNAI1,9
DAG1,9
CPS1,9
COG5,9
CLN8,9
CHKB,9
CHD2,9
BRAF,9
ATP8B1,9
AMPD1,9
AHI1,9
TYMP,8
TJP2,8
TGFB2,8
SGCG,8
SDHD,8
RECQL4,8
PNPLA6,8
PNPLA2,8
PIGO,8
NUBPL,8
NOTCH3,8
NLRP3,8
NDUFS8,8
MVK,8
LAMP2,8
LAMC3,8
KIF5A,8
JAK3,8
INSR,8
INF2,8
HNF1A,8
HMGCS2,8
GPD1L,8
FOXRED1,8
EPM2A,8
EP300,8
DTNA,8
DNAAF3,8
CSRP3,8
CREBBP,8
COL4A4,8
CDKN1B,8
CDKL5,8
CASC5,8
BCKDHA,8
ARSA,8
AP3B1,8
AIPL1,8
AARS2,8
WT1,7
TRIP11,7
TRIM32,7
TNPO3,7
TNFRSF1A,7
TMPO,7
TMEM127,7
TCTN2,7
SPTA1,7
SPAST,7
PYGL,7
PRSS1,7
PRDM16,7
PMP22,7
PMM2,7
PDX1,7
PAH,7
NPHP1,7
MYOT,7
MUT,7
LRPPRC,7
KCTD7,7
KCNJ10,7
KCNA5,7
IQSEC2,7
HLCS,7
GJB3,7
GFI1,7
GAN,7
ESRRB,7
DOK7,7
DIAPH1,7
DGUOK,7
CYP4V2,7
CTC1,7
CP,7
COQ9,7
COG7,7
CHRNB1,7
CHRNA2,7
CASK,7
CACNA2D4,7
BMPR2,7
BIN1,7
BBS1,7
ATP6V0A2,7
ATP2A1,7
WNT10A,6
VWF,6
VLDLR,6
TXNRD2,6
TTC19,6
TSEN54,6
TRMU,6
TMEM216,6
TCF4,6
ST3GAL5,6
SMC3,6
SLC9A6,6
SLC7A7,6
SLC12A3,6
SIL1,6
SDHC,6
SCN1B,6
SCN10A,6
SCARB2,6
SARS2,6
PSTPIP1,6
PEX14,6
PDSS1,6
PDHX,6
PARK2,6
OTOG,6
NOTCH2,6
NF2,6
NDUFS2,6
NDUFAF1,6
MYH8,6
MFRP,6
MC4R,6
L1CAM,6
KIF1C,6
KCNJ2,6
KCND3,6
ITGB2,6
INPP5E,6
IFT122,6
GOSR2,6
GLI2,6
GCDH,6
GAMT,6
FYCO1,6
FREM1,6
FANCF,6
EVC,6
EPCAM,6
ENPP1,6
ELAC2,6
EFEMP2,6
DCTN1,6
CYP27A1,6
CYP1B1,6
CPA6,6
CNGB3,6
CLN5,6
CHRNB2,6
CACNB4,6
C2,6
C10orf2,6
BSCL2,6
BBS9,6
BBS10,6
ALS2,6
ALDH18A1,6
AGRN,6
ADA,6
ACADS,6
ABCC2,6
ABCB11,6
WWOX,5
WDR35,5
VRK1,5
TUBB3,5
TTC8,5
TSEN2,5
TNFRSF13B,5
TMEM126A,5
TH,5
SYN1,5
SUCLA2,5
SPRED1,5
SMC1A,5
SMARCAL1,5
SLC29A3,5
SERPINC1,5
SCN4B,5
SCN3A,5
RTTN,5
RANBP2,5
RAB3GAP1,5
PRRT2,5
PROS1,5
PRKAR1A,5
PRICKLE2,5
PRF1,5
PKD2,5
PKD1,5
PHKG2,5
PGAM2,5
PEX10,5
PDLIM3,5
PDE6B,5
PCCB,5
PCCA,5
OTC,5
NPHS2,5
NPC2,5
NDUFV1,5
MYOM1,5
MYO6,5
MYH3,5
MTMR2,5
MTM1,5
MPV17,5
MPDU1,5
MED25,5
MCCC1,5
MARVELD2,5
MARS,5
MAP2K2,5
MAN1B1,5
LTBP4,5
LRBA,5
KIF1B,5
KCNJ11,5
INVS,5
IFT80,5
HSD17B4,5
HNF1B,5
HGSNAT,5
HGF,5
HEXA,5
HADHB,5
HADHA,5
GSS,5
GRHPR,5
GPSM2,5
GPR56,5
GATA4,5
FREM2,5
FBLN5,5
FASTKD2,5
FARS2,5
FAM175A,5
EXT2,5
ERCC4,5
EPB42,5
ELN,5
EDA,5
DPM1,5
DNMT3B,5
DLAT,5
DDOST,5
DBT,5
CUBN,5
COL9A2,5
COG8,5
COG4,5
CLRN1,5
CLCN2,5
CHRND,5
CEP41,5
CDKN1C,5
CACNA1H,5
BLK,5
BEST1,5
ATRX,5
ATP6V1B1,5
ATP13A2,5
ARHGEF9,5
ALG8,5
ALG6,5
ALDOB,5
AIRE,5
AGPS,5
ACAD8,5
ABCD1,5
ABAT,5
ZIC3,4
XRCC2,4
WDR36,4
WDPCP,4
UGT1A1,4
TRIOBP,4
TNXB,4
TNNI2,4
TMEM237,4
TMEM231,4
TFR2,4
TCN2,4
SYNGAP1,4
SRD5A3,4
SPTBN2,4
SPTB,4
SPINK5,4
SLC52A3,4
SLC4A1,4
SLC2A2,4
SLC25A12,4
SLC19A2,4
SLC13A5,4
SDHAF2,4
SCN3B,4
SALL4,4
SALL1,4
RFX5,4
RAPSN,4
PUS1,4
PSEN2,4
PROKR2,4
PHEX,4
PEX6,4
PEX13,4
PDE6A,4
OFD1,4
NSUN2,4
NHS,4
NGF,4
NDRG1,4
NDE1,4
NCF2,4
MYOZ2,4
MRPS16,4
MPZ,4
MPI,4
MOGS,4
MOCS2,4
MMAB,4
MEF2C,4
MCCC2,4
MAPT,4
MAN2B1,4
LRTOMT,4
LRP5,4
LRP4,4
LMBRD1,4
LIG4,4
LIFR,4
LGI1,4
LDLRAP1,4
KCNE3,4
KCNE2,4
IVD,4
IL7R,4
HUWE1,4
HPS5,4
HPS3,4
HPS1,4
HFE,4
GUCY2D,4
GRIP1,4
GRIN1,4
GPC3,4
GNPTAB,4
GLIS2,4
GLB1,4
GJB6,4
GCH1,4
GBE1,4
GBA,4
GATM,4
GALNS,4
FOXC1,4
FIG4,4
FBXL4,4
FAT4,4
FANCL,4
FANCE,4
FANCB,4
FAH,4
EYA4,4
EYA1,4
ETHE1,4
ETFDH,4
EPHA2,4
EGR2,4
DPAGT1,4
DNAL1,4
DNAJC5,4
DNAJB6,4
DEPDC5,4
DCLRE1C,4
DARS2,4
CYP7B1,4
CTNS,4
CRYAB,4
CRB1,4
CPT1A,4
COL4A3,4
COG6,4
CNGA3,4
CHRNG,4
CHRNA1,4
CDHR1,4
CDC73,4
CCDC78,4
CCDC22,4
C19orf12,4
BSND,4
BRAT1,4
BLOC1S3,4
BCS1L,4
BCKDHB,4
BBS4,4
AUH,4
ATP1A3,4
ARID1B,4
APTX,4
AMT,4
ALG3,4
ALDH4A1,4
AGK,4
ACTRT3,4
ACTA2,4
ABCG8,4
ZFPM2,3
YARS,3
WRAP53,3
WNT5A,3
WDR19,3
VSX1,3
VCP,3
VCAN,3
TYRP1,3
TUFM,3
TSHR,3
TSEN34,3
TRPM1,3
TREX1,3
TRDN,3
TMPRSS6,3
TMIE,3
TMEM70,3
TMEM5,3
TINF2,3
TGIF1,3
TG,3
TCOF1,3
TCIRG1,3
TBX5,3
SUCLG1,3
STXBP2,3
STRA6,3
ST3GAL3,3
SPG20,3
SOX9,3
SLC45A2,3
SLC37A4,3
SLC35C1,3
SLC35A1,3
SLC26A5,3
SLC26A2,3
SLC25A19,3
SLC12A6,3
SHH,3
SGCB,3
SERPINH1,3
SEC23B,3
SCO2,3
SCNN1G,3
SCNN1B,3
RP1,3
RGR,3
RFT1,3
REEP1,3
RBBP8,3
PRODH,3
PROC,3
POU1F1,3
POT1,3
POR,3
POLR3A,3
POLG2,3
PNPT1,3
PITPNM3,3
PIGN,3
PGM1,3
PFKM,3
PEX5,3
PEX26,3
PEX2,3
PDSS2,3
PDP1,3
PDHA1,3
PDE6C,3
ORC1,3
OPTN,3
NSDHL,3
NRAS,3
NR2E3,3
NODAL,3
NIPA1,3
NHLRC1,3
NEFL,3
NDUFS7,3
NDUFS1,3
NDUFAF5,3
MMADHC,3
